Step Time(ns) rpsystem.zeeman1.field.x rpsystem.zeeman1.field.y rpsystem.zeeman1.field.z rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 0 0 0 1 0 0 0 1 
1 5 0 0 0 0.976986 0.00767146 0.00767146 0.00767146 1 
1 10 0 0 0 0.910767 0.0297442 0.0297442 0.0297442 1 
1 15 0 0 0 0.809473 0.063509 0.063509 0.063509 1 
1 20 0 0 0 0.685536 0.104821 0.104821 0.104821 1 
1 25 0 0 0 0.554168 0.148611 0.148611 0.148611 1 
1 30 0 0 0 0.431495 0.189502 0.189502 0.189502 1 
1 35 0 0 0 0.332573 0.222476 0.222476 0.222476 1 
1 40 0 0 0 0.269544 0.243485 0.243485 0.243485 1 
1 45 0 0 0 0.250146 0.249951 0.249951 0.249951 1 
1 50 0 0 0 0.276758 0.241081 0.241081 0.241081 1 
1 55 0 0 0 0.346115 0.217962 0.217962 0.217962 1 
1 60 0 0 0 0.449703 0.183432 0.183432 0.183432 1 
1 65 0 0 0 0.574807 0.141731 0.141731 0.141731 1 
1 70 0 0 0 0.706073 0.0979758 0.0979758 0.0979758 1 
1 75 0 0 0 0.827387 0.0575377 0.0575377 0.0575377 1 
1 80 0 0 0 0.92386 0.0253802 0.0253802 0.0253802 1 
1 85 0 0 0 0.983649 0.00545031 0.00545031 0.00545031 1 
1 90 0 0 0 0.999417 0.000194386 0.000194386 0.000194386 1 
1 95 0 0 0 0.969227 0.0102575 0.0102575 0.0102575 1 
1 100 0 0 0 0.896786 0.0344046 0.0344046 0.0344046 1 
1 105 0 0 0 0.790985 0.0696716 0.0696716 0.0696716 1 
1 110 0 0 0 0.664811 0.11173 0.11173 0.11173 1 
1 115 0 0 0 0.533749 0.155417 0.155417 0.155417 1 
1 120 0 0 0 0.413889 0.19537 0.19537 0.19537 1 
1 125 0 0 0 0.319941 0.226686 0.226686 0.226686 1 
1 130 0 0 0 0.263436 0.245521 0.245521 0.245521 1 
1 135 0 0 0 0.251312 0.249563 0.249563 0.249563 1 
1 140 0 0 0 0.285055 0.238315 0.238315 0.238315 1 
1 145 0 0 0 0.360524 0.213159 0.213159 0.213159 1 
1 150 0 0 0 0.468456 0.177181 0.177181 0.177181 1 
1 155 0 0 0 0.595602 0.134799 0.134799 0.134799 1 
1 160 0 0 0 0.726357 0.0912142 0.0912142 0.0912142 1 
1 165 0 0 0 0.844671 0.0517762 0.0517762 0.0517762 1 
1 170 0 0 0 0.936022 0.0213259 0.0213259 0.0213259 1 
1 175 0 0 0 0.989197 0.00360097 0.00360097 0.00360097 1 
1 180 0 0 0 0.997669 0.000776938 0.000776938 0.000776938 1 
1 185 0 0 0 0.960399 0.0132005 0.0132005 0.0132005 1 
1 190 0 0 0 0.88196 0.0393467 0.0393467 0.0393467 1 
1 195 0 0 0 0.771981 0.0760062 0.0760062 0.0760062 1 
1 200 0 0 0 0.643962 0.118679 0.118679 0.118679 1 
1 205 0 0 0 0.513615 0.162128 0.162128 0.162128 1 
1 210 0 0 0 0.396939 0.20102 0.20102 0.20102 1 
1 215 0 0 0 0.308257 0.230581 0.230581 0.230581 1 
1 220 0 0 0 0.258453 0.247182 0.247182 0.247182 1 
1 225 0 0 0 0.25364 0.248787 0.248787 0.248787 1 
1 230 0 0 0 0.294409 0.235197 0.235197 0.235197 1 
1 235 0 0 0 0.375756 0.208081 0.208081 0.208081 1 
1 240 0 0 0 0.487696 0.170768 0.170768 0.170768 1 
1 245 0 0 0 0.616489 0.127837 0.127837 0.127837 1 
1 250 0 0 0 0.746327 0.0845577 0.0845577 0.0845577 1 
1 255 0 0 0 0.861273 0.0462424 0.0462424 0.0462424 1 
1 260 0 0 0 0.947218 0.0175941 0.0175941 0.0175941 1 
1 265 0 0 0 0.993612 0.0021292 0.0021292 0.0021292 1 
1 270 0 0 0 0.994762 0.00174584 0.00174584 0.00174584 1 
1 275 0 0 0 0.950527 0.0164911 0.0164911 0.0164911 1 
1 280 0 0 0 0.866335 0.0445551 0.0445551 0.0445551 1 
1 285 0 0 0 0.75252 0.0824932 0.0824932 0.0824932 1 
1 290 0 0 0 0.623054 0.125649 0.125649 0.125649 1 
1 295 0 0 0 0.493826 0.168725 0.168725 0.168725 1 
1 300 0 0 0 0.380699 0.206434 0.206434 0.206434 1 
1 305 0 0 0 0.297558 0.234147 0.234147 0.234147 1 
1 310 0 0 0 0.254609 0.248464 0.248464 0.248464 1 
1 315 0 0 0 0.257123 0.247626 0.247626 0.247626 1 
1 320 0 0 0 0.304791 0.231736 0.231736 0.231736 1 
1 325 0 0 0 0.391763 0.202746 0.202746 0.202746 1 
1 330 0 0 0 0.507363 0.164212 0.164212 0.164212 1 
1 335 0 0 0 0.637402 0.120866 0.120866 0.120866 1 
1 340 0 0 0 0.765919 0.078027 0.078027 0.078027 1 
1 345 0 0 0 0.877139 0.0409536 0.0409536 0.0409536 1 
1 350 0 0 0 0.957411 0.0141964 0.0141964 0.0141964 1 
1 355 0 0 0 0.996881 0.00103959 0.00103959 0.00103959 1 
1 360 0 0 0 0.990706 0.00309809 0.00309809 0.00309809 1 
1 365 0 0 0 0.939642 0.0201193 0.0201193 0.0201193 1 
1 370 0 0 0 0.849958 0.0500138 0.0500138 0.0500138 1 
1 375 0 0 0 0.732663 0.0891125 0.0891125 0.0891125 1 
1 380 0 0 0 0.602152 0.132616 0.132616 0.132616 1 
1 385 0 0 0 0.474445 0.175185 0.175185 0.175185 1 
1 390 0 0 0 0.365219 0.211594 0.211594 0.211594 1 
1 395 0 0 0 0.287878 0.237374 0.237374 0.237374 1 
1 400 0 0 0 0.251918 0.249361 0.249361 0.249361 1 
1 405 0 0 0 0.26175 0.246083 0.246083 0.246083 1 
1 410 0 0 0 0.316169 0.227944 0.227944 0.227944 1 
